model,step,threshold_rounded_mean,selected_as_threshold,width_mean,width_median,width_q1,width_q3,width_min,width_max,width_stddev,total_mape_start_states,contributing_start_states,contributing_fraction
35,4,14,1,14.227272727272727,14.0,13.0,15.0,12,17,1.2767792641080127,74,66,0.8918918918918919
35,5,16,1,15.828125,16.0,15.0,17.0,14,18,1.305692913504167,74,64,0.8648648648648649
35,6,17,1,16.933333333333334,17.0,16.0,18.0,15,18,1.0934146311237816,74,60,0.8108108108108109
35,7,18,1,17.666666666666668,18,18.0,18.0,16,18,0.6306035352846115,74,57,0.7702702702702703
35,8,18,0,17.944444444444443,18.0,18.0,18.0,17,18,0.2290614236454256,74,54,0.7297297297297297
35,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,74,50,0.6756756756756757
35,10,18,0,18.0,18,18.0,18.0,18,18,0.0,74,45,0.6081081081081081
36,1,5,1,5.214285714285714,5.0,5.0,6.0,3,6,0.860113898485164,70,70,1.0
36,2,10,1,9.681159420289855,10,9.0,11.0,6,12,1.5369153524746013,70,69,0.9857142857142858
36,3,13,1,12.926470588235293,13.0,12.0,14.0,9,16,1.7766142326030965,70,68,0.9714285714285714
36,4,15,1,15.17910447761194,15,14.0,16.5,12,18,1.6565147113999406,70,67,0.9571428571428572
36,5,17,1,16.828125,17.0,16.0,18.0,14,18,1.153184280319065,70,64,0.9142857142857143
36,6,18,1,17.721311475409838,18,18.0,18.0,15,18,0.6041155991045337,70,61,0.8714285714285714
36,7,18,0,18.0,18.0,18.0,18.0,18,18,0.0,70,58,0.8285714285714286
36,8,18,0,18.0,18,18.0,18.0,18,18,0.0,70,53,0.7571428571428571
36,9,18,0,18.0,18.0,18.0,18.0,18,18,0.0,70,48,0.6857142857142857
36,10,18,0,18.0,18.0,18.0,18.0,18,18,0.0,70,44,0.6285714285714286
37,1,5,1,5.358208955223881,6,5.0,6.0,3,6,0.8231989392918015,67,67,1.0
37,2,10,1,9.878787878787879,10.0,9.0,11.0,6,12,1.7365513675023518,67,66,0.9850746268656716
37,3,14,1,13.5625,14.0,12.0,15.0,9,17,2.1350863565673404,67,64,0.9552238805970149
