model,threshold,total_starts,actual_update_min,actual_update_q1,actual_update_median,actual_update_mean,actual_update_q3,actual_update_max,actual_update_stddev,interval_trigger_count,fallback_count,interval_trigger_fraction,fallback_fraction
19,9,67,2,2.0,2.0,2.746268656716418,3.0,10,1.8795306144909274,63,4,0.9402985074626866,0.05970149253731343
19,10,67,2,2.0,3.0,3.1791044776119404,3.0,10,2.2053217393747917,61,6,0.9104477611940298,0.08955223880597014
19,11,67,2,2.0,3.0,3.4776119402985075,3.0,10,2.132605504416926,61,6,0.9104477611940298,0.08955223880597014
19,12,67,2,3.0,3.0,3.7611940298507465,4.0,10,2.030289680373964,61,6,0.9104477611940298,0.08955223880597014
19,13,67,3,3.0,4.0,4.2835820895522385,4.0,10,2.170397653565952,59,8,0.8805970149253731,0.11940298507462686
19,14,67,3,3.0,4.0,4.597014925373134,5.0,10,2.1164579075436625,59,8,0.8805970149253731,0.11940298507462686
19,15,67,3,4.0,4.0,4.925373134328358,5.0,10,2.0465729113975626,59,8,0.8805970149253731,0.11940298507462686
19,16,67,3,4.0,5.0,5.552238805970149,6.0,10,2.139072068936911,56,11,0.835820895522388,0.16417910447761194
19,17,67,3,4.0,5.0,5.925373134328358,6.0,10,2.03926700934371,56,11,0.835820895522388,0.16417910447761194
19,18,67,4,5.0,6.0,6.522388059701493,7.0,10,1.9574443356125375,54,13,0.8059701492537313,0.19402985074626866
19,19,67,10,10.0,10.0,10.0,10.0,10,0.0,0,67,0.0,1.0
20,1,49,1,1.0,1.0,1.0,1.0,1,0.0,49,0,1.0,0.0
20,2,49,1,1.0,1.0,1.0,1.0,1,0.0,49,0,1.0,0.0
20,3,49,1,1.0,1.0,1.0,1.0,1,0.0,49,0,1.0,0.0
20,4,49,1,1.0,1.0,1.2040816326530612,1.0,10,1.277427130981945,48,1,0.9795918367346939,0.02040816326530612
20,5,49,1,1.0,1.0,1.3877551020408163,1.0,10,1.3064412876146303,48,1,0.9795918367346939,0.02040816326530612
20,6,49,1,1.0,2.0,1.7755102040816326,2.0,10,1.2819835734317886,48,1,0.9795918367346939,0.02040816326530612
20,7,49,2,2.0,2.0,2.326530612244898,2.0,10,1.5829158718094134,47,2,0.9591836734693877,0.04081632653061224
20,8,49,2,2.0,2.0,2.3877551020408165,2.0,10,1.5884317324318404,47,2,0.9591836734693877,0.04081632653061224
20,9,49,2,2.0,2.0,2.5714285714285716,3.0,10,1.5907898179514348,47,2,0.9591836734693877,0.04081632653061224
20,10,49,2,2.0,3.0,2.938775510204082,3.0,10,1.8670960018747234,46,3,0.9387755102040817,0.061224489795918366
20,11,49,2,3.0,3.0,3.2448979591836733,3.0,10,1.8017068125994484,46,3,0.9387755102040817,0.061224489795918366
20,12,49,2,3.0,3.0,3.4489795918367347,3.0,10,1.761970424012194,46,3,0.9387755102040817,0.061224489795918366
20,13,49,3,3.0,3.0,3.979591836734694,4.0,10,1.8570307209922166,45,4,0.9183673469387755,0.08163265306122448
20,14,49,3,3.0,4.0,4.387755102040816,4.0,10,1.7935977585893739,45,4,0.9183673469387755,0.08163265306122448
20,15,49,3,4.0,4.0,4.877551020408164,5.0,10,1.9339359576297361,44,5,0.8979591836734694,0.10204081632653061
20,16,49,3,4.0,5.0,5.571428571428571,6.0,10,2.0701966780270626,42,7,0.8571428571428571,0.14285714285714285
20,17,49,3,5.0,6.0,6.081632653061225,7.0,10,2.0085199616844234,42,7,0.8571428571428571,0.14285714285714285
20,18,49,4,5.0,7.0,6.836734693877551,8.0,10,1.9414589378000457,40,9,0.8163265306122449,0.1836734693877551
20,19,49,10,10.0,10.0,10.0,10.0,10,0.0,0,49,0.0,1.0
21,1,72,1,1.0,1.0,1.0,1.0,1,0.0,72,0,1.0,0.0
21,2,72,1,1.0,1.0,1.0,1.0,1,0.0,72,0,1.0,0.0
21,3,72,1,1.0,1.0,1.0,1.0,1,0.0,72,0,1.0,0.0
21,4,72,1,1.0,1.0,1.2638888888888888,1.0,10,1.481300625534829,70,2,0.9722222222222222,0.027777777777777776
21,5,72,1,1.0,1.0,1.4305555555555556,1.0,10,1.498391627424487,70,2,0.9722222222222222,0.027777777777777776
21,6,72,1,1.0,2.0,1.75,2.0,10,1.479019945774904,70,2,0.9722222222222222,0.027777777777777776
21,7,72,2,2.0,2.0,2.4583333333333335,2.0,10,1.8328597873268975,68,4,0.9444444444444444,0.05555555555555555
21,8,72,2,2.0,2.0,2.5277777777777777,2.0,10,1.8331228835440463,68,4,0.9444444444444444,0.05555555555555555
