model,group,actual_update_median,actual_update_q3,mean_fallback_fraction,minimum_fallback_fraction,maximum_fallback_fraction,fallback_tolerance,thresholds,minimum_threshold,maximum_threshold
23,2,1.0,1.0,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.02,4,4,4
23,3,1.0,2.0,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.02,5,5,5
23,4,2.0,2.0,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.02,6,6,6
23,5,2.0,2.0,0.0547945205479452,0.0547945205479452,0.0547945205479452,0.02,"7,8",7,8
23,6,2.0,3.0,0.0547945205479452,0.0547945205479452,0.0547945205479452,0.02,9,9,9
23,7,2.0,3.0,0.0821917808219178,0.0821917808219178,0.0821917808219178,0.02,10,10,10
23,8,3.0,3.0,0.0821917808219178,0.0821917808219178,0.0821917808219178,0.02,11,11,11
23,9,3.0,4.0,0.0821917808219178,0.0821917808219178,0.0821917808219178,0.02,12,12,12
23,10,3.0,4.0,0.1232876712328767,0.1232876712328767,0.1232876712328767,0.02,13,13,13
23,11,4.0,5.0,0.13013698630136986,0.1232876712328767,0.136986301369863,0.02,"14,15",14,15
23,12,5.0,6.0,0.1917808219178082,0.1917808219178082,0.1917808219178082,0.02,16,16,16
23,13,5.0,7.0,0.1917808219178082,0.1917808219178082,0.1917808219178082,0.02,17,17,17
23,14,6.0,9.0,0.2328767123287671,0.2328767123287671,0.2328767123287671,0.02,18,18,18
23,15,10.0,10.0,1.0,1.0,1.0,0.02,19,19,19
24,1,1.0,1.0,0.0,0.0,0.0,0.02,"1,2,3",1,3
24,2,1.0,1.0,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.02,"4,5",4,5
24,3,2.0,2.0,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.02,6,6,6
24,4,2.0,2.0,0.06329113924050633,0.06329113924050633,0.06329113924050633,0.02,"7,8",7,8
24,5,2.0,3.0,0.06329113924050633,0.06329113924050633,0.06329113924050633,0.02,9,9,9
24,6,2.0,3.0,0.10126582278481013,0.10126582278481013,0.10126582278481013,0.02,10,10,10
24,7,3.0,3.0,0.10126582278481013,0.10126582278481013,0.10126582278481013,0.02,11,11,11
24,8,3.0,4.0,0.10126582278481013,0.10126582278481013,0.10126582278481013,0.02,12,12,12
